estadistico,rho,p_valor,n,punto,ci95_lo,ci95_hi
spearman_n_vs_herramienta_mase,-0.2125477094521028,0.13836231193898035,50,,,
spearman_n_vs_prophet_mase,-0.25356145588440415,0.07560701027430254,50,,,
spearman_n_vs_lightgbm_mase,-0.021954417207878947,0.8797131658820382,50,,,
spearman_n_vs_herramienta_menos_prophet,0.06248564897627086,0.6664054393449923,50,,,
spearman_n_vs_herramienta_menos_lightgbm,-0.19179957890399746,0.18208860166645352,50,,,
mediana_mase_herramienta,,,50,0.7467540772834793,0.6433685356297131,0.8346164717088724
mediana_mase_prophet,,,50,0.7850290307485057,0.6919248586998276,0.931542914386339
mediana_mase_lightgbm,,,50,0.8925003396507913,0.7781626587530712,0.9960302681931774
diferencia_mediana_herramienta_menos_prophet,,,50,-0.04156384751865897,-0.11486679020214235,-0.004634232551540884
tasa_victoria_herramienta_vs_prophet,,,50,0.64,0.5,0.78
diferencia_mediana_herramienta_menos_lightgbm,,,50,-0.13415074616825798,-0.25370428261757605,-0.04066970842233042
tasa_victoria_herramienta_vs_lightgbm,,,50,0.72,0.58,0.84
