,pronostico,inferior_95,superior_95,sigma_error,sesgo_estimado
2025-01-01,2089.1,1382.8,2795.5,360.4,-94.2
2025-02-01,2613.6,1614.7,3612.4,509.6,-56.9
2025-03-01,2917.1,1693.8,4140.5,624.2,79.2
2025-04-01,2068.6,656.0,3481.3,720.7,72.4
2025-05-01,2803.6,1224.3,4383.0,805.8,73.3
2025-06-01,2471.6,741.5,4201.8,882.7,24.2
2025-07-01,2753.8,885.1,4622.6,953.5,-4.9
2025-08-01,2431.3,433.6,4429.1,1019.3,-29.7
2025-09-01,2411.6,292.6,4530.5,1081.1,-37.0
2025-10-01,2273.9,40.4,4507.5,1139.6,0.0
2025-11-01,2293.1,0.0,4635.6,1195.2,0.0
2025-12-01,2588.9,142.2,5035.7,1248.4,0.0
